Topic,Media,Sentence,Sentiment
koœció³,Fronda,ks. Jab³oñski: To jest prze³omowy film dla kap³anów,"{'radoœæ': 2, 'smutek': 2, 'strach': 2, 'zaskoczenie czymœ nieprzewidywanym': 2, 'z³oœæ': 2}"
pis,Fronda,Mularczyk: Pedofiliê trzeba zwalczaæ i karaæ!,"{'smutek': 1, 'strach': 1, 'wstrêt': 1, 'z³oœæ': 1}"
polska,Fronda,Obara ws. ustawy 447: Nikt nie mo¿e pozwaæ Polski,"{'smutek': 1, 'wstrêt': 1, 'z³oœæ': 1}"
pedofilia,Fronda,Borowiak: ¯aden pedofil nie mo¿e spaæ spokojnie,"{'strach': 1, 'wstrêt': 1, 'z³oœæ': 1, 'smutek': 1}"
rz¹d,Fronda,Suski: Rz¹d zwiêkszy³ kary za pedofiliê do 30 lat,"{'smutek': 1, 'strach': 1, 'wstrêt': 1, 'z³oœæ': 1}"
pedofilia,Fronda,Dziennikarz: Pedofil w mojej parafii,"{'strach': 1, 'wstrêt': 1, 'z³oœæ': 1}"
koœció³,Fronda,Ks. Adam Boniecki: Jak walczy³em z molestowaniem,"{'radoœæ': 2, 'wstrêt': 2, 'z³oœæ': 2}"
rz¹d,Fronda,Brawo!!! Rz¹d zaostrzy kary za pedofiliê,"{'smutek': 1, 'strach': 1, 'wstrêt': 1, 'z³oœæ': 1}"
koœció³,Fronda,Ordo Iuris: Profanacja wizerunku Maryi to przestêpstwo,"{'smutek': 4, 'wstrêt': 4, 'z³oœæ': 4}"
koœció³,Fronda,Biskup MOCNO o 'lawendowej mafii' w Koœciele ,"{'strach': 1, 'z³oœæ': 1}"
szkolnictwo,Fronda,Kielce: Nauczyciel zatrzymany za pornografiê dzieciêc¹,{'wstrêt': 1}
koœció³,Fronda,"Jaka tam produkcja, to p³aska, wulgarna, przedwyborcza, propaganda lewaków atakuj¹cych Koœció³, ten ...","{'wstrêt': 1, 'z³oœæ': 2, 'smutek': 1}"
komunizm,Fronda,Sekielskiemu ''umkn¹³'' wa¿ny element. Wspó³praca z SB,"{'zaufanie': 1, 'strach': 1, 'wstrêt': 1}"
polska,Fronda,"Polska musi byæ silna, skoro wytrzyma³a ich rz¹dy!",{'zaufanie': 1}
polska,Fronda,Brawo! Polska wœród najlepszych w Europie!!!,"{'radoœæ': 1, 'zaufanie': 1}"
rasizm,Fronda,Rasistowski atak na ambasadora RP. Premier reaguje,"{'smutek': 3, 'wstrêt': 3, 'z³oœæ': 3}"
kukiz15,Fronda,"Kukiz o pedofilii u celebrytów: Mia³ byæ skandal, a...","{'smutek': 1, 'strach': 1, 'wstrêt': 3, 'z³oœæ': 2, 'radoœæ': 1, 'zaufanie': 1}"
pis,Fronda,Kuriozalna wypowiedŸ Belki ws. pedofilii i PiS,"{'smutek': 1, 'strach': 1, 'wstrêt': 1, 'z³oœæ': 1}"
polska,Fronda,Polski ambasador zaatakowany w Tel Awiwie!,"{'smutek': 2, 'wstrêt': 2, 'z³oœæ': 2}"
koalicja obywatelska,Fronda,Komorowski w Niemczech atakuje polski rz¹d!,"{'smutek': 3, 'z³oœæ': 3}"
rz¹d,Fronda,Rzecznik MSZ Izraela: Jesteœmy wstrz¹œniêci atakiem,"{'radoœæ': 1, 'smutek': 1, 'zaskoczenie czymœ nieprzewidywanym': 1, 'z³oœæ': 1}"
